track;time;x;y
1;10:32:13;1598;526
1;10:32:14;1524;544
1;10:32:15;1441;557
1;10:32:16;1357;392
1;10:32:17;1395;573
1;10:32:18;1352;409
1;10:32:19;1415;573
1;10:32:20;1358;379
1;10:32:21;1424;557
1;10:32:22;1319;574
1;10:32:23;1279;357
1;10:32:24;1309;573
1;10:32:25;1271;372
1;10:32:26;1294;582
1;10:32:27;1144;621
1;10:32:28;927;665
1;10:32:29;839;409
1;10:32:30;899;665
1;10:32:31;728;493
1;10:32:32;884;665
1;10:32:33;1058;391
1;10:32:34;866;665
1;10:32:35;715;684
1;10:32:36;597;509
1;10:32:37;692;684
1;10:32:38;456;425
1;10:32:39;669;684
1;10:32:40;481;719
1;10:32:41;481;684
1;10:32:42;432;693
1;10:32:43;432;718
1;10:32:44;441;740
1;10:32:45;502;740
1;10:32:46;1598;988
1;10:32:47;1624;1034
2;10:35:17;1588;498
2;10:35:18;1438;530
2;10:35:19;1286;556
2;10:35:20;1274;325
2;10:35:21;1280;556
2;10:35:22;1264;334
2;10:35:23;1274;556
2;10:35:24;1109;595
2;10:35:25;919;637
2;10:35:26;835;375
2;10:35:27;897;636
2;10:35:28;730;468
2;10:35:29;879;637
2;10:35:30;1050;359
2;10:35:31;933;622
2;10:35:32;713;664
2;10:35:33;609;478
2;10:35:34;694;664
2;10:35:35;460;394
2;10:35:36;673;677
2;10:35:37;505;693
2;10:35:38;489;677
2;10:35:39;469;677
2;10:35:40;469;718
2;10:35:41;498;741
2;10:35:42;1618;942
2;10:35:43;1650;991
3;10:39:03;1584;495
3;10:39:04;1394;531
3;10:39:05;1365;380
3;10:39:06;1404;539
3;10:39:07;1356;386
3;10:39:08;1390;542
3;10:39:09;1346;373
3;10:39:10;1378;538
3;10:39:11;1288;556
3;10:39:12;1290;378
3;10:39:13;1279;556
3;10:39:14;1264;378
3;10:39:15;1295;549
3;10:39:16;914;634
3;10:39:17;855;406
3;10:39:18;897;650
3;10:39:19;713;472
3;10:39:20;884;650
3;10:39:21;1040;333
3;10:39:22;924;650
3;10:39:23;707;669
3;10:39:24;604;480
3;10:39:25;697;669
3;10:39:26;448;387
3;10:39:27;678;669
3;10:39:28;510;702
3;10:39:29;494;669
3;10:39:30;448;678
3;10:39:31;448;728
3;10:39:32;494;742
3;10:39:33;525;728
3;10:39:34;1602;949
3;10:39:35;1634;999
4;10:41:55;1609;515
4;10:41:56;1425;554
4;10:41:57;1302;579
4;10:41:58;1535;541
4;10:41:59;1662;474
4;10:42:00;1266;579
4;10:42:01;1103;579
4;10:42:02;819;633
4;10:42:03;855;362
4;10:42:04;835;644
4;10:42:05;467;689
4;10:42:06;503;515
4;10:42:07;450;689
4;10:42:08;351;541
4;10:42:09;432;689
4;10:42:10;450;736
4;10:42:11;503;754
4;10:42:12;1620;924
4;10:42:13;1620;1006
